promise_id,customer_id,customer_broken_promise_rate,customer_broken_promises_count,customer_avg_days_late,customer_on_time_ratio_90d,customer_on_time_ratio_all_time,recency_weighted_on_time_score,customer_dispute_rate,customer_invoice_count,customer_tenure_months,invoice_amount,invoice_amount_log,invoice_amount_vs_customer_avg_ratio,days_overdue_at_scoring,payment_terms_days,days_since_last_contact,prior_reminders_sent,promise_amount_ratio,promise_horizon_days,current_escalation_tier,is_broken
PRM-MOCK-001016,CUST-MOCK-0017,0.25,3,13.82,0.253,0.2708,0.2569,0.0585,37,32,29667.07,10.2978,1.317,4,30,6,3,0.25,5,2,0
PRM-MOCK-001017,CUST-MOCK-0018,0.0,0,4.01,0.7668,0.7981,0.7765,0.0093,17,74,23983.55,10.0852,0.914,16,45,4,4,1.0,3,3,0
PRM-MOCK-001018,CUST-MOCK-0019,0.4815,13,8.55,0.7126,0.7473,0.7195,0.0824,78,64,38358.55,10.5548,1.732,23,15,22,4,1.0,3,3,1
PRM-MOCK-001019,CUST-MOCK-0020,0.625,10,26.84,0.5725,0.5005,0.5574,0.1266,46,63,58364.61,10.9745,1.499,7,60,17,4,0.5,7,3,1
PRM-MOCK-001020,CUST-MOCK-0021,0.5652,13,30.38,0.4822,0.4623,0.4782,0.1548,66,41,6469.72,8.775,0.533,26,15,22,1,0.5,7,0,1
PRM-MOCK-001021,CUST-MOCK-0022,0.2273,5,21.11,0.3123,0.3577,0.3215,0.055,63,58,27313.71,10.2152,0.694,80,30,8,2,1.0,14,1,1
PRM-MOCK-001022,CUST-MOCK-0023,0.5714,12,18.49,0.0,0.2244,0.0456,0.1317,60,91,15942.84,9.6768,0.701,4,45,20,2,1.0,2,1,1
PRM-MOCK-001023,CUST-MOCK-0024,0.0,0,11.22,0.5791,0.5644,0.5715,0.0927,4,63,31166.4,10.3471,0.909,10,30,24,1,1.0,10,0,0
PRM-MOCK-001024,CUST-MOCK-0025,0.5,5,27.52,0.5264,0.5179,0.5243,0.1919,29,34,25610.68,10.1508,0.539,80,30,10,5,0.25,7,3,1
PRM-MOCK-001025,CUST-MOCK-0026,0.0455,1,0.0,0.9921,1.0,0.9937,0.0204,63,94,197831.72,12.1952,1.798,33,30,3,1,1.0,7,0,0
PRM-MOCK-001026,CUST-MOCK-0027,0.1111,1,19.59,0.3565,0.3984,0.3667,0.067,28,49,61872.11,11.0328,1.279,50,30,15,3,1.0,5,2,1
PRM-MOCK-001027,CUST-MOCK-0028,0.0714,1,1.82,0.8915,0.854,0.8835,0.0026,41,39,92750.0,11.4377,0.524,88,30,5,1,0.8,2,0,0
PRM-MOCK-001028,CUST-MOCK-0029,0.0,0,0.0,0.9882,1.0,0.9908,0.0204,35,88,200575.54,12.209,1.914,43,30,7,3,0.8,2,2,0
PRM-MOCK-001029,CUST-MOCK-0030,0.25,2,26.0,0.4618,0.4132,0.4494,0.1435,25,91,62688.07,11.0459,0.466,2,30,8,3,1.0,2,2,1
PRM-MOCK-001030,CUST-MOCK-0031,0.5,1,27.27,0.3052,0.3461,0.3245,0.2019,6,66,43994.94,10.6919,0.909,30,15,6,4,1.0,2,3,1
PRM-MOCK-001031,CUST-MOCK-0032,0.2727,3,14.01,0.0686,0.4186,0.1487,0.1468,33,81,151486.95,11.9283,1.657,34,30,12,2,1.0,5,1,0
PRM-MOCK-001032,CUST-MOCK-0033,0.0,0,1.31,0.9622,1.0,0.9699,0.003,57,72,57853.66,10.9657,1.345,25,15,1,4,0.5,5,3,0
PRM-MOCK-001033,CUST-MOCK-0034,0.5,7,6.54,0.4599,0.402,0.4474,0.0497,40,20,103000.47,11.5425,0.629,97,30,22,2,0.5,2,1,1
PRM-MOCK-001034,CUST-MOCK-0035,0.1667,1,20.69,0.2151,0.3259,0.2475,0.0743,19,17,37043.19,10.5199,0.681,1,60,4,5,1.0,21,3,1
PRM-MOCK-001035,CUST-MOCK-0036,0.125,1,2.27,0.9381,0.9246,0.9346,0.0088,24,65,30821.58,10.336,1.055,7,45,19,4,1.0,5,3,0
PRM-MOCK-001036,CUST-MOCK-0037,0.0,0,9.68,0.905,0.9743,0.9252,0.0,19,1,107705.58,11.5872,1.115,39,45,12,3,0.25,7,2,0
PRM-MOCK-001037,CUST-MOCK-0038,0.0,0,15.42,0.5831,0.5579,0.5685,0.0512,2,73,28502.96,10.2578,0.632,30,45,19,2,0.8,2,1,0
PRM-MOCK-001038,CUST-MOCK-0039,0.0833,2,0.0,0.8994,0.8678,0.8931,0.0,71,51,52086.47,10.8607,1.597,3,30,12,4,1.0,2,3,0
PRM-MOCK-001039,CUST-MOCK-0040,0.0,0,27.35,0.4527,0.4469,0.4511,0.1861,21,25,86342.57,11.3661,1.047,44,60,13,1,1.0,2,0,0
PRM-MOCK-001040,CUST-MOCK-0041,0.2,1,14.53,0.3269,0.3376,0.3304,0.0292,15,7,140059.72,11.8498,0.806,11,30,24,2,0.5,14,1,1
PRM-MOCK-001041,CUST-MOCK-0042,0.381,8,11.16,0.5219,0.5207,0.5216,0.0472,62,86,49643.93,10.8127,0.721,43,30,22,5,1.0,7,3,1
PRM-MOCK-001042,CUST-MOCK-0043,0.4737,9,29.44,0.4915,0.5017,0.4936,0.1077,55,3,60190.75,11.0053,0.933,14,45,18,1,0.8,5,0,1
PRM-MOCK-001043,CUST-MOCK-0044,0.0,0,0.0,1.0,1.0,1.0,0.0,27,19,59002.05,10.9853,1.676,2,30,3,1,0.8,21,0,0
PRM-MOCK-001044,CUST-MOCK-0045,0.8,4,4.93,0.643,0.6321,0.6394,0.041,15,77,60467.85,11.0099,2.028,13,15,3,4,0.25,3,3,1
PRM-MOCK-001045,CUST-MOCK-0046,0.4545,5,24.86,0.43,0.4856,0.4429,0.1799,32,66,20538.54,9.9301,0.868,10,60,22,1,1.0,5,0,0
PRM-MOCK-001046,CUST-MOCK-0047,0.0,0,9.47,0.3759,0.4454,0.4004,0.0347,13,74,41317.26,10.6291,0.756,40,15,23,5,1.0,3,3,0
PRM-MOCK-001047,CUST-MOCK-0048,0.0,0,7.3,0.988,0.9685,0.9839,0.013,45,65,40423.22,10.6072,0.929,9,30,19,1,1.0,5,0,0
PRM-MOCK-001048,CUST-MOCK-0049,0.8846,23,19.54,0.5117,0.4509,0.4995,0.1492,75,66,22959.34,10.0415,0.694,42,30,14,4,1.0,3,3,1
PRM-MOCK-001049,CUST-MOCK-0050,0.0,0,0.0,0.8177,0.8141,0.8168,0.0012,32,24,35387.27,10.4741,1.097,3,45,7,4,1.0,3,3,0
PRM-MOCK-001050,CUST-MOCK-0051,0.0588,1,0.71,0.9749,0.9036,0.9601,0.0029,50,93,185339.81,12.13,1.358,2,30,11,2,0.25,2,1,0
PRM-MOCK-001051,CUST-MOCK-0052,0.0769,1,5.16,0.9028,0.9196,0.9065,0.0571,38,95,63321.43,11.056,1.226,60,15,10,3,1.0,5,2,0
PRM-MOCK-001052,CUST-MOCK-0053,0.75,6,25.42,0.595,0.6291,0.6041,0.1209,23,72,17468.37,9.7682,0.841,3,15,13,5,0.5,30,3,1
PRM-MOCK-001053,CUST-MOCK-0054,0.6316,12,34.06,0.3262,0.3493,0.331,0.1348,55,30,13899.66,9.5397,0.513,14,30,3,2,0.25,3,1,1
PRM-MOCK-001054,CUST-MOCK-0055,0.0,0,29.81,0.5136,0.5328,0.5248,0.1541,2,8,10440.38,9.2535,0.578,63,45,8,2,1.0,30,1,1
PRM-MOCK-001055,CUST-MOCK-0056,0.3684,7,25.85,0.5247,0.4897,0.5176,0.188,57,89,122608.15,11.7168,2.137,71,30,6,5,1.0,2,3,1
PRM-MOCK-001056,CUST-MOCK-0057,0.0,0,21.01,0.2584,0.2705,0.262,0.0951,18,44,124773.72,11.7343,0.729,21,45,17,2,1.0,3,1,0
PRM-MOCK-001057,CUST-MOCK-0058,0.0952,2,13.32,0.3531,0.3228,0.347,0.0535,60,3,20910.6,9.9481,0.576,24,30,2,2,1.0,5,1,1
PRM-MOCK-001058,CUST-MOCK-0059,0.3333,1,4.09,1.0,1.0,1.0,0.0043,10,67,114153.24,11.6453,1.133,50,45,24,3,0.8,2,2,0
PRM-MOCK-001059,CUST-MOCK-0060,0.125,1,0.0,0.8784,0.9151,0.888,0.0397,24,76,28142.22,10.2451,0.841,34,45,18,2,1.0,21,1,0
PRM-MOCK-001060,CUST-MOCK-0061,0.4231,11,22.48,0.382,0.3601,0.3776,0.1659,76,19,20623.06,9.9342,1.841,8,30,10,1,1.0,14,0,0
PRM-MOCK-001061,CUST-MOCK-0062,0.2174,5,12.55,0.2847,0.3225,0.2923,0.0755,66,63,4364.39,8.3815,0.364,50,30,3,4,1.0,3,3,0
PRM-MOCK-001062,CUST-MOCK-0063,0.0,0,20.13,0.397,0.386,0.3906,0.0323,2,71,11648.05,9.363,0.766,11,15,5,5,0.5,5,3,0
PRM-MOCK-001063,CUST-MOCK-0064,0.6667,18,27.68,0.3677,0.3835,0.3708,0.1355,79,13,6184.35,8.7299,0.699,4,30,11,1,0.5,5,0,1
PRM-MOCK-001064,CUST-MOCK-0065,0.7143,10,28.25,0.421,0.4177,0.4203,0.1134,40,68,56469.8,10.9415,1.074,88,15,11,2,1.0,2,1,1
PRM-MOCK-001065,CUST-MOCK-0066,0.1304,3,17.09,0.4039,0.3648,0.396,0.0244,67,65,13140.84,9.4836,0.965,13,30,13,1,1.0,2,0,0
PRM-MOCK-001066,CUST-MOCK-0067,0.125,1,15.16,0.3614,0.3103,0.3478,0.0793,23,8,24321.85,10.0992,0.608,93,15,24,3,1.0,2,2,0
PRM-MOCK-001067,CUST-MOCK-0068,0.1111,2,0.0,0.9468,0.9653,0.9506,0.0144,52,60,50348.06,10.8267,0.537,10,30,18,2,1.0,5,1,0
PRM-MOCK-001068,CUST-MOCK-0069,0.0455,1,6.91,0.9749,0.9203,0.9639,0.02,64,16,44156.86,10.6955,1.808,12,60,13,2,0.5,7,1,0
PRM-MOCK-001069,CUST-MOCK-0070,0.1538,4,17.34,0.243,0.2882,0.2521,0.0399,76,40,4747.11,8.4655,0.948,2,15,2,2,1.0,14,1,0
PRM-MOCK-001070,CUST-MOCK-0071,0.0769,2,1.22,0.8056,0.9296,0.8305,0.071,76,32,93031.47,11.4407,0.897,16,60,11,1,1.0,5,0,0
PRM-MOCK-001071,CUST-MOCK-0072,0.1,1,14.97,0.2567,0.262,0.258,0.0699,30,63,51047.76,10.8405,1.04,10,15,24,3,1.0,3,2,0
PRM-MOCK-001072,CUST-MOCK-0073,0.1429,1,10.27,0.6504,0.6182,0.6416,0.0379,22,62,38811.82,10.5665,1.155,64,15,8,1,1.0,3,0,0
PRM-MOCK-001073,CUST-MOCK-0074,0.0,0,7.56,0.7084,0.7746,0.723,0.0178,37,59,56143.23,10.9357,0.874,40,45,23,2,0.5,5,1,0
PRM-MOCK-001074,CUST-MOCK-0075,0.125,2,2.23,0.9898,1.0,0.9919,0.0033,47,29,50393.65,10.8276,1.012,7,15,17,3,0.5,5,2,0
PRM-MOCK-001075,CUST-MOCK-0076,0.0741,2,0.0,0.9087,0.9077,0.9085,0.0,78,50,109223.36,11.6012,2.244,79,30,14,2,1.0,14,1,0
PRM-MOCK-001076,CUST-MOCK-0077,0.1176,2,1.03,0.9995,1.0,0.9996,0.0087,51,19,33672.37,10.4245,1.148,17,45,18,2,1.0,3,1,0
PRM-MOCK-001077,CUST-MOCK-0078,0.4583,11,31.31,0.613,0.5514,0.6006,0.1365,70,13,19973.18,9.9022,1.04,61,30,22,4,0.5,5,3,1
PRM-MOCK-001078,CUST-MOCK-0079,0.2632,5,20.06,0.4247,0.4494,0.4298,0.1007,57,78,86551.96,11.3685,1.38,11,30,3,3,0.8,3,2,1
PRM-MOCK-001079,CUST-MOCK-0080,0.5909,13,28.92,0.5412,0.5253,0.538,0.1618,63,95,350908.69,12.7683,1.59,2,45,14,1,1.0,5,0,1
PRM-MOCK-001080,CUST-MOCK-0081,0.5,1,20.57,0.6121,0.5596,0.5895,0.1083,8,64,65672.51,11.0925,0.894,17,30,1,5,0.25,3,3,1
PRM-MOCK-001081,CUST-MOCK-0082,0.1818,4,17.53,0.0699,0.1636,0.0888,0.0964,64,62,54484.01,10.9057,2.136,31,45,12,5,0.5,2,3,1
PRM-MOCK-001082,CUST-MOCK-0083,0.4091,9,8.26,0.536,0.5103,0.5308,0.0853,63,25,42658.92,10.661,0.978,7,30,2,2,0.5,10,1,0
PRM-MOCK-001083,CUST-MOCK-0084,0.0,0,2.29,0.9667,1.0,0.9841,0.0,4,39,19536.69,9.8801,0.713,14,30,10,2,1.0,2,1,0
PRM-MOCK-001084,CUST-MOCK-0085,0.0556,1,0.0,1.0,1.0,1.0,0.0087,52,32,99407.34,11.507,0.982,3,15,9,4,1.0,10,3,0
PRM-MOCK-001085,CUST-MOCK-0086,0.0,0,0.32,0.7991,0.8261,0.8046,0.0644,53,31,29893.0,10.3054,1.187,9,15,8,1,1.0,2,0,0
PRM-MOCK-001086,CUST-MOCK-0087,0.5,11,27.51,0.5539,0.5435,0.5518,0.2249,64,54,77190.25,11.254,1.539,2,30,16,5,0.5,21,3,1
PRM-MOCK-001087,CUST-MOCK-0088,0.25,2,18.51,0.3573,0.3309,0.3503,0.0944,23,28,393706.48,12.8834,1.837,12,30,6,1,0.5,5,0,0
PRM-MOCK-001088,CUST-MOCK-0089,0.1667,1,0.51,0.7351,0.7263,0.7325,0.0159,19,91,60018.02,11.0024,1.505,26,30,7,4,1.0,7,3,0
PRM-MOCK-001089,CUST-MOCK-0090,0.1765,3,14.09,0.4342,0.409,0.429,0.0476,50,44,13610.81,9.5187,0.861,8,15,23,1,1.0,3,0,0
PRM-MOCK-001090,CUST-MOCK-0091,0.0385,1,0.0,0.8447,0.8957,0.8549,0.0324,76,45,75637.04,11.2337,1.501,30,30,7,2,1.0,3,1,0
PRM-MOCK-001091,CUST-MOCK-0092,1.0,7,32.58,0.5092,0.4618,0.4949,0.1274,18,53,27934.7,10.2377,1.511,37,45,16,4,1.0,5,3,1
PRM-MOCK-001092,CUST-MOCK-0093,0.2105,4,12.66,0.3842,0.3284,0.3728,0.1235,55,62,13127.05,9.4825,0.629,11,15,19,4,0.8,2,3,1
PRM-MOCK-001093,CUST-MOCK-0094,0.16,4,19.93,0.4209,0.4127,0.4192,0.1004,74,55,97183.35,11.4844,0.79,3,30,16,3,1.0,3,2,0
PRM-MOCK-001094,CUST-MOCK-0095,0.0,0,0.69,1.0,0.9765,0.9931,0.0,19,24,56094.63,10.9348,1.32,4,30,11,4,1.0,7,3,0
PRM-MOCK-001095,CUST-MOCK-0096,1.0,12,23.25,0.3449,0.3907,0.3552,0.1253,35,29,53229.16,10.8824,0.908,9,45,17,4,1.0,7,3,1
PRM-MOCK-001096,CUST-MOCK-0097,0.125,2,20.57,0.3453,0.3829,0.3531,0.0519,48,83,200742.77,12.2098,0.971,13,15,4,4,1.0,7,3,1
PRM-MOCK-001097,CUST-MOCK-0098,0.25,1,0.5,0.7798,0.7906,0.7836,0.0241,13,6,46141.56,10.7395,0.935,9,45,24,3,1.0,5,2,0
PRM-MOCK-001098,CUST-MOCK-0099,0.0556,1,0.0,1.0,0.9973,0.9995,0.0461,53,90,98676.76,11.4996,1.717,1,30,6,2,1.0,3,1,0
PRM-MOCK-001099,CUST-MOCK-0100,0.125,1,19.44,0.126,0.476,0.2191,0.1245,23,95,22702.97,10.0303,0.955,104,60,22,3,1.0,2,2,1
PRM-MOCK-001100,CUST-MOCK-0101,0.3077,8,3.96,0.6682,0.59,0.6525,0.0352,77,26,173051.99,12.0614,1.544,19,30,17,3,0.8,21,2,1
PRM-MOCK-001101,CUST-MOCK-0102,0.6,12,29.2,0.2824,0.2971,0.2854,0.1678,58,45,43972.77,10.6913,1.695,3,45,2,3,1.0,21,2,1
PRM-MOCK-001102,CUST-MOCK-0103,0.1765,3,0.0,1.0,0.9807,0.996,0.0317,49,87,25410.41,10.143,0.682,11,60,19,4,1.0,14,3,0
PRM-MOCK-001103,CUST-MOCK-0104,0.5263,10,15.37,0.0336,0.3836,0.1052,0.1326,55,35,41194.61,10.6261,0.913,34,30,6,1,1.0,5,0,1
PRM-MOCK-001104,CUST-MOCK-0105,0.6818,15,21.62,0.4958,0.4924,0.4951,0.1693,64,31,16458.63,9.7087,0.801,2,60,4,5,1.0,7,3,1
PRM-MOCK-001105,CUST-MOCK-0106,0.4286,6,29.7,0.5873,0.532,0.5754,0.1579,41,47,18741.75,9.8386,0.905,5,15,1,5,1.0,5,3,1
PRM-MOCK-001106,CUST-MOCK-0107,0.0833,1,11.8,0.2321,0.2343,0.2326,0.0005,37,5,15672.86,9.6597,0.802,7,15,20,2,0.8,2,1,0
PRM-MOCK-001107,CUST-MOCK-0108,0.0,0,0.0,0.9529,0.9845,0.9593,0.0316,56,91,46957.33,10.757,1.182,1,30,19,5,1.0,10,3,0
PRM-MOCK-001108,CUST-MOCK-0109,0.0,0,0.0,0.9031,0.95,0.9135,0.0354,36,28,90992.6,11.4185,1.905,6,15,10,5,0.5,3,3,0
PRM-MOCK-001109,CUST-MOCK-0110,0.4091,9,10.22,0.6885,0.6001,0.6706,0.0276,63,59,16264.68,9.6968,0.919,6,30,1,5,0.8,2,3,0
PRM-MOCK-001110,CUST-MOCK-0111,0.25,4,11.9,0.3729,0.316,0.361,0.068,47,1,40726.95,10.6147,1.576,9,30,9,4,1.0,21,3,1
PRM-MOCK-001111,CUST-MOCK-0112,0.0741,2,7.95,0.8322,0.899,0.8456,0.0548,78,46,38179.1,10.5501,0.745,6,45,23,1,1.0,2,0,0
PRM-MOCK-001112,CUST-MOCK-0113,0.0,0,7.86,1.0,1.0,1.0,0.0,12,79,240466.28,12.3903,1.64,7,60,13,3,1.0,7,2,0
PRM-MOCK-001113,CUST-MOCK-0114,0.1538,4,18.83,0.5654,0.4481,0.5419,0.0114,77,6,19705.89,9.8887,1.302,36,30,23,5,1.0,7,3,0
PRM-MOCK-001114,CUST-MOCK-0115,0.0,0,7.3,1.0,1.0,1.0,0.0242,67,8,35648.99,10.4815,0.831,3,30,7,2,1.0,3,1,0
PRM-MOCK-001115,CUST-MOCK-0116,0.5,12,3.59,0.5769,0.6213,0.5858,0.1186,69,5,12393.56,9.425,1.129,13,30,11,2,0.5,3,1,1
PRM-MOCK-001116,CUST-MOCK-0117,0.4167,5,30.95,0.3788,0.4552,0.3956,0.1145,37,90,43257.33,10.6749,1.478,33,45,3,4,1.0,2,3,1
PRM-MOCK-001117,CUST-MOCK-0118,0.6667,6,22.73,0.3809,0.3314,0.3684,0.105,26,68,91271.34,11.4216,0.549,27,15,6,2,0.5,7,1,1
PRM-MOCK-001118,CUST-MOCK-0119,0.0,0,17.78,0.3533,0.4545,0.3755,0.0351,38,42,32355.19,10.3846,0.787,110,30,1,5,1.0,3,3,1
PRM-MOCK-001119,CUST-MOCK-0120,0.0667,1,17.81,0.4624,0.4344,0.4565,0.0509,45,66,48043.97,10.7799,0.969,3,30,3,5,0.25,3,3,0
PRM-MOCK-001120,CUST-MOCK-0121,0.2778,5,15.63,0.4509,0.4282,0.4462,0.0182,52,89,179153.35,12.096,1.322,13,30,3,1,1.0,2,0,0
PRM-MOCK-001121,CUST-MOCK-0122,0.6087,14,29.13,0.475,0.4841,0.4769,0.142,67,41,61419.16,11.0255,0.542,5,30,5,3,1.0,3,2,1
PRM-MOCK-001122,CUST-MOCK-0123,0.1667,2,2.38,0.9781,0.958,0.9736,0.0327,35,14,41631.35,10.6366,1.139,113,15,22,3,1.0,7,2,0
PRM-MOCK-001123,CUST-MOCK-0124,0.2,1,10.84,0.4967,0.4733,0.4895,0.0823,17,2,17325.95,9.76,0.897,39,30,1,3,0.25,5,2,0
PRM-MOCK-001124,CUST-MOCK-0125,0.0435,1,7.17,0.9037,0.9741,0.9179,0.0401,66,15,26784.96,10.1956,0.569,61,15,14,3,0.5,2,2,0
PRM-MOCK-001125,CUST-MOCK-0126,0.1739,4,9.41,0.3402,0.2479,0.3216,0.0906,67,4,21072.7,9.9558,1.086,7,15,6,4,1.0,5,3,0
PRM-MOCK-001126,CUST-MOCK-0127,0.0385,1,8.45,0.9743,0.96,0.9714,0.0358,75,30,32533.03,10.39,1.052,13,45,8,3,1.0,2,2,0
PRM-MOCK-001127,CUST-MOCK-0128,0.0,0,0.0,0.8212,0.8591,0.8294,0.0533,40,70,165332.38,12.0157,1.469,4,15,19,5,1.0,3,3,0
PRM-MOCK-001128,CUST-MOCK-0129,0.0,0,0.57,0.9536,0.9537,0.9536,0.0201,40,55,14297.93,9.5679,0.461,13,45,4,2,0.8,3,1,0
PRM-MOCK-001129,CUST-MOCK-0130,0.0,0,25.52,0.0901,0.1296,0.1023,0.1092,17,73,34814.56,10.4578,0.718,39,60,8,1,1.0,3,0,0
PRM-MOCK-001130,CUST-MOCK-0131,0.1818,2,0.53,0.9644,0.9546,0.9622,0.0534,33,70,63021.67,11.0512,0.818,12,30,24,4,1.0,5,3,0
PRM-MOCK-001131,CUST-MOCK-0132,0.3333,3,12.43,0.1493,0.4993,0.2359,0.1084,27,70,15547.98,9.6518,0.737,24,30,17,5,1.0,21,3,1
PRM-MOCK-001132,CUST-MOCK-0133,0.2857,2,16.55,0.3529,0.2759,0.331,0.0504,20,35,78058.18,11.2652,0.964,2,30,23,4,1.0,2,3,0
PRM-MOCK-001133,CUST-MOCK-0134,0.0,0,1.38,1.0,0.9338,0.9839,0.0416,28,51,41586.63,10.6356,0.94,111,15,5,4,1.0,10,3,0
PRM-MOCK-001134,CUST-MOCK-0135,0.0,0,10.7,0.4573,0.4032,0.4291,0.0472,4,59,218999.89,12.2968,1.071,32,15,13,3,1.0,2,2,0
PRM-MOCK-001135,CUST-MOCK-0136,0.0,0,6.68,0.9756,1.0,0.9806,0.056,49,1,7570.14,8.9321,0.355,5,30,19,5,1.0,2,3,0
PRM-MOCK-001136,CUST-MOCK-0137,0.3158,6,9.14,0.0028,0.3528,0.0744,0.0953,55,46,12503.12,9.4338,0.487,6,30,15,1,1.0,14,0,1
PRM-MOCK-001137,CUST-MOCK-0138,0.36,9,17.2,0.5831,0.4979,0.566,0.0503,73,71,107597.55,11.5862,1.226,116,30,7,5,1.0,14,3,1
PRM-MOCK-001138,CUST-MOCK-0139,0.5,6,24.75,0.5059,0.4845,0.5011,0.1841,36,49,14861.38,9.6066,0.733,11,30,5,2,1.0,3,1,1
PRM-MOCK-001139,CUST-MOCK-0140,0.0,0,12.63,0.936,0.9475,0.9396,0.0364,17,34,34991.64,10.4629,1.537,20,30,5,5,1.0,3,3,0
PRM-MOCK-001140,CUST-MOCK-0141,0.0,0,20.7,0.3348,0.3444,0.3394,0.1024,6,43,54129.52,10.8992,1.19,2,45,18,5,1.0,2,3,0
PRM-MOCK-001141,CUST-MOCK-0142,0.2692,7,12.89,0.2365,0.2887,0.247,0.0996,77,49,195559.32,12.1836,1.355,20,30,3,2,1.0,3,1,0
PRM-MOCK-001142,CUST-MOCK-0143,0.0,0,16.76,0.0722,0.4222,0.2872,0.138,1,44,20077.29,9.9074,0.682,44,30,3,2,1.0,7,1,0
PRM-MOCK-001143,CUST-MOCK-0144,0.2,3,17.16,0.4253,0.4081,0.4216,0.0381,43,78,38970.85,10.5706,1.174,7,45,24,2,1.0,5,1,0
PRM-MOCK-001144,CUST-MOCK-0145,0.25,4,14.86,0.2836,0.3147,0.2901,0.0802,48,41,20165.39,9.9118,0.621,2,15,14,3,1.0,14,2,0
PRM-MOCK-001145,CUST-MOCK-0146,0.1111,1,7.02,0.8621,0.8956,0.8705,0.0549,26,65,104476.62,11.5567,0.92,32,30,6,5,1.0,2,3,0
PRM-MOCK-001146,CUST-MOCK-0147,0.1875,3,0.0,0.8891,0.8607,0.8832,0.0432,46,79,24845.65,10.1205,0.441,40,30,14,5,1.0,7,3,0
PRM-MOCK-001147,CUST-MOCK-0148,0.1667,2,15.98,0.1033,0.1508,0.1139,0.0699,36,45,21531.21,9.9773,1.161,41,45,14,1,1.0,5,0,1
PRM-MOCK-001148,CUST-MOCK-0149,0.0,0,10.64,0.4526,0.3979,0.4254,0.0,5,39,31295.8,10.3513,1.086,1,30,6,1,0.5,5,0,0
PRM-MOCK-001149,CUST-MOCK-0150,0.0,0,9.26,0.9212,0.9457,0.9276,0.0563,24,25,14932.28,9.6113,1.056,16,60,18,5,1.0,5,3,1
PRM-MOCK-001150,CUST-MOCK-0151,0.5,1,7.78,0.7518,0.7738,0.7613,0.067,8,7,25245.87,10.1365,0.835,29,45,20,1,1.0,3,0,1
